WEM,english_text8_w2v_cbow_t8corpus_v_400_hs_1_09_apr_18.vec
 Time   ,30_May_18
access,2,gateway,0, Different  Cluster 
account,2,explanation,2, Same  Cluster 
account,2,invoice,0, Different  Cluster 
account,2,statement,2, Same  Cluster 
acoustic,3,remedy,2, Different  Cluster 
acrylic,3,cloth,3, Same  Cluster 
action,2,adjustment,3, Different  Cluster 
action,2,entrance,0, Different  Cluster 
activity,2,event,2, Same  Cluster 
activity,2,music,1, Different  Cluster 
activity,2,skiing,3, Different  Cluster 
addition,3,segment,3, Same  Cluster 
adhesive,3,glue,3, Same  Cluster 
adult,0,dentist,0, Same  Cluster 
adult,0,doctor,1, Different  Cluster 
afternoon,1,substance,3, Different  Cluster 
age,2,childhood,1, Different  Cluster 
agency,2,army,2, Same  Cluster 
agency,2,office,2, Same  Cluster 
agency,2,police,2, Same  Cluster 
agent,1,spy,1, Same  Cluster 
agreement,2,contract,2, Same  Cluster 
aim,2,purpose,2, Same  Cluster 
aircraft,3,balloon,3, Same  Cluster 
aircraft,3,yacht,1, Different  Cluster 
alarm,0,horn,3, Different  Cluster 
alarm,0,press,1, Different  Cluster 
algorithm,3,search,0, Different  Cluster 
alien,2,stranger,1, Different  Cluster 
alloy,3,metal,3, Same  Cluster 
alphabet,3,script,3, Same  Cluster 
aluminum,3,oxygen,3, Same  Cluster 
amount,3,distance,3, Same  Cluster 
amount,3,number,3, Same  Cluster 
amount,3,season,2, Different  Cluster 
amusement,0,athletics,1, Different  Cluster 
amusement,0,play,2, Different  Cluster 
amusement,0,procedure,3, Different  Cluster 
anatomy,3,creation,2, Different  Cluster 
animal,3,flora,3, Same  Cluster 
animal,3,worm,3, Same  Cluster 
ankle,0,joint,0, Same  Cluster 
anniversary,1,birthday,1, Same  Cluster 
answer,2,plea,2, Same  Cluster 
apparel,0,dress,2, Different  Cluster 
appearance,3,shadow,1, Different  Cluster 
apple,3,bank,2, Different  Cluster 
apple,3,orange,3, Same  Cluster 
apple,3,pod,3, Same  Cluster 
appliance,0,dryer,0, Same  Cluster 
appliance,0,refrigerator,3, Different  Cluster 
approach,2,swing,3, Different  Cluster 
approval,2,encouragement,2, Same  Cluster 
approving,0,interaction,3, Different  Cluster 
arc,3,rainbow,1, Different  Cluster 
architecture,0,engineering,3, Different  Cluster 
area,3,patio,0, Different  Cluster 
area,3,region,3, Same  Cluster 
argument,2,evidence,2, Same  Cluster 
argument,2,indication,2, Same  Cluster 
arm,3,arrow,3, Same  Cluster 
arm,3,missile,3, Same  Cluster 
armor,3,mail,2, Different  Cluster 
army,2,legion,1, Different  Cluster 
aroma,3,fragrance,0, Different  Cluster 
aroma,3,smell,3, Same  Cluster 
arrangement,3,blizzard,0, Different  Cluster 
arrangement,3,room,3, Same  Cluster 
article,0,girl,1, Different  Cluster 
artillery,3,gun,3, Same  Cluster 
aspen,1,maple,3, Different  Cluster 
ass,1,donkey,1, Same  Cluster 
assembly,2,crowd,2, Same  Cluster 
assets,2,capital,2, Same  Cluster 
assets,2,credit,2, Same  Cluster 
assets,2,income,2, Same  Cluster 
association,0,organization,2, Different  Cluster 
athlete,1,participant,2, Different  Cluster 
athletics,1,racing,3, Different  Cluster 
athletics,1,swimming,3, Different  Cluster 
attitude,2,notice,2, Same  Cluster 
attitude,2,study,2, Same  Cluster 
attorney,2,lawyer,1, Different  Cluster 
attraction,2,pressure,3, Different  Cluster 
